name,path
woman,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/woman.svg
border_style,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/border_style.svg
broadcast_on_home,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/broadcast_on_home.svg
agriculture,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/agriculture.svg
bedroom_baby,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/bedroom_baby.svg
sledding,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/sledding.svg
party_mode,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/party_mode.svg
shield,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/shield.svg
style,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/style.svg
volume_up,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/volume_up.svg
photo_camera_back,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/photo_camera_back.svg
watch_off,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/watch_off.svg
brightness_7,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/brightness_7.svg
php,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/php.svg
dining,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/dining.svg
data_usage,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/data_usage.svg
blur_on,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/blur_on.svg
api,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/api.svg
css,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/css.svg
people_alt,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/people_alt.svg
strikethrough_s,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/strikethrough_s.svg
restore_from_trash,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/restore_from_trash.svg
queue,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/queue.svg
carpenter,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/carpenter.svg
highlight_alt,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/highlight_alt.svg
local_taxi,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/local_taxi.svg
lock_reset,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/lock_reset.svg
lightbulb_circle,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/lightbulb_circle.svg
gamepad,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/gamepad.svg
flip_to_front,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/flip_to_front.svg
golf_course,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/golf_course.svg
redeem,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/redeem.svg
group_add,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/group_add.svg
hls_off,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/hls_off.svg
local_phone,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/local_phone.svg
spatial_audio_off,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/spatial_audio_off.svg
nat,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/nat.svg
pin_invoke,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/pin_invoke.svg
mode_fan_off,/home/gust/projects/icon-recognizer/material-design-icons/svg/filled/mode_fan_off.svg
